datetime,temp,pressure,humidity,gas,lyd,lys
2023-11-21 08:02:14.802131,17.41,1008.94,24.31,164.18,272,669
2023-11-21 08:07:39.908227,17.41,1008.93,24.3,161.66,272,670
2023-11-21 08:13:07.364853,17.41,1008.94,24.3,161.97,273,671
2023-11-21 08:19:23.096723,17.41,1008.94,24.3,161.35,273,670
2023-11-21 08:28:15.138507,17.41,1008.94,24.3,160.73,273,669
2023-11-21 08:08:30.929201,22.35,1009.16,25.37,94.96,264,945
2023-11-21 08:08:32.014217,22.37,1009.17,25.76,93.71,263,945
2023-11-21 08:08:33.386695,22.37,1009.17,26.16,93.71,263,944
2023-11-21 08:08:34.757963,22.36,1009.17,26.47,94.35,263,945
2023-11-21 08:08:36.130320,22.36,1009.17,26.56,95.31,263,945
2023-11-21 08:08:37.502829,22.35,1009.17,26.44,96.13,264,945
2023-11-21 08:08:38.870341,22.34,1009.17,26.24,96.9,263,945
2023-11-21 08:08:40.242882,22.33,1009.17,25.98,97.69,263,945
2023-11-21 08:08:41.615397,22.33,1009.18,25.73,98.55,262,944
2023-11-21 08:08:42.986568,22.32,1009.17,25.44,99.25,263,945
2023-11-21 08:08:44.359201,22.31,1009.18,25.18,99.72,262,945
2023-11-21 08:08:45.746915,22.3,1009.17,24.92,100.73,263,945
2023-11-21 08:08:47.119703,22.3,1009.17,24.69,100.85,263,945
2023-11-21 08:08:48.491203,22.29,1009.18,24.49,101.71,263,945
2023-11-21 08:08:49.860088,22.28,1009.18,24.3,101.95,262,945
2023-11-21 08:08:51.231549,22.28,1009.18,24.11,102.33,262,944
2023-11-21 08:08:52.604269,22.27,1009.18,23.97,102.45,262,945
2023-11-21 08:08:04.528462,22.47,981.76,45.53,55.51,261,945
2023-11-21 08:08:05.300037,22.43,981.77,45.07,57.33,260,944
2023-11-21 08:08:06.672277,22.37,981.76,44.58,57.72,260,945
2023-11-21 08:08:08.040723,22.33,981.77,44.3,57.72,261,945
2023-11-21 08:08:09.413047,22.29,981.76,44.31,57.72,261,945
2023-11-21 08:08:10.785358,22.27,981.76,44.41,57.84,260,945
2023-11-21 08:08:12.156296,22.25,981.75,44.58,57.84,260,945
2023-11-21 08:08:13.528662,22.24,981.75,44.45,58.57,260,945
2023-11-21 08:08:14.900784,22.23,981.75,44.02,58.61,261,945
2023-11-21 08:08:16.273144,22.23,981.75,43.98,58.82,260,945
2023-11-21 08:08:17.641758,22.23,981.75,44.03,58.61,260,945
2023-11-21 08:08:19.013924,22.23,981.75,44.19,58.65,260,945
2023-11-21 08:08:20.385809,22.23,981.75,44.29,58.61,260,945
2023-11-21 08:08:21.756940,22.24,981.75,44.41,58.57,260,945
2023-11-21 08:08:23.129251,22.25,981.75,44.63,57.96,260,945
2023-11-21 08:08:24.501579,22.25,981.76,45.22,57.25,260,945
2023-11-21 08:08:25.873680,22.26,981.75,45.49,57.96,261,945
2023-11-21 08:08:27.245966,22.25,981.75,45.19,58.53,261,945
2023-11-21 08:08:28.614465,22.25,981.75,44.61,59.11,260,655
2023-11-21 08:08:29.985622,22.25,981.77,44.3,58.82,260,506
2023-11-21 08:08:31.358062,22.24,981.77,44.58,57.77,260,391
