datetime,temp,pressure,humidity,gas,lyd,lys
2023-11-16T21:26:47.329541,17.95,1008.28,25.07,26.64,270,535
2023-11-16T21:26:48.414554,17.96,1008.28,25.05,27.35,270,534
2023-11-16T21:26:49.787244,17.95,1008.29,25.02,27.88,269,533
2023-11-16T21:26:51.158550,17.94,1008.30,25.01,28.50,270,534
2023-11-16T21:27:15.015974,17.90,1008.32,25.15,33.18,267,533
2023-11-16T21:27:15.816284,17.89,1008.30,25.27,32.64,270,533
2023-11-16T21:27:16.905022,17.90,1008.31,25.28,33.47,269,535
2023-11-16T21:27:18.277779,17.90,1008.31,25.29,34.18,269,535
2023-11-16T21:27:19.645307,17.90,1008.31,25.31,34.66,269,534
2023-11-16T21:27:21.017909,17.89,1008.31,25.32,35.12,269,534
2023-11-16T21:27:22.390485,17.89,1008.32,25.32,35.15,268,535
2023-11-16T21:27:23.761567,17.89,1008.31,25.31,35.50,269,533
2023-11-16T21:27:25.130354,17.89,1008.31,25.31,35.84,269,533
2023-11-16T21:27:26.501594,17.89,1008.31,25.31,36.40,269,532
2023-11-16T21:27:27.874314,17.88,1008.32,25.31,36.55,269,533
2023-11-16T21:27:29.246771,17.88,1008.32,25.31,37.10,269,534
2023-11-16T21:27:30.617925,17.88,1008.33,25.28,37.73,269,533
2023-11-16T21:27:31.990463,17.88,1008.33,25.29,37.50,268,532
2023-11-16T21:27:33.363017,17.88,1008.34,25.28,38.35,269,532
2023-11-16T21:27:34.734312,17.88,1008.33,25.30,38.35,269,534
2023-11-16T21:27:36.103094,17.88,1008.33,25.28,38.96,269,535
2023-11-16T21:27:37.474312,17.88,1008.33,25.29,38.96,269,534
2023-11-16T21:27:38.846814,17.88,1008.33,25.30,39.62,270,534
2023-11-16T21:27:40.219297,17.88,1008.34,25.30,39.32,270,535
2023-11-16T21:27:41.590577,17.88,1008.33,25.30,39.69,269,536
2023-11-16T21:27:42.963066,17.88,1008.33,25.33,40.46,270,470
2023-11-16T21:27:44.335498,17.88,1008.33,25.32,40.77,270,488
2023-11-16T21:27:45.703084,17.88,1008.32,25.33,40.93,270,522
2023-11-16T21:27:47.075506,17.88,1008.33,25.33,40.89,269,528
2023-11-16T21:27:48.448026,17.88,1008.33,25.35,41.33,269,526
2023-11-16T21:27:49.819134,17.88,1008.33,25.37,41.95,270,647
2023-11-16T21:27:51.191526,17.87,1008.32,25.39,41.82,269,644
2023-11-16T21:27:52.564100,17.87,1008.33,25.42,42.20,270,655
2023-11-16T21:27:53.935308,17.87,1008.33,25.51,42.07,270,665
2023-11-16T21:27:55.307841,17.87,1008.33,25.61,42.16,270,666
2023-11-16T21:27:56.675550,17.87,1008.33,25.68,42.63,270,668
2023-11-16T21:27:58.048070,17.86,1008.33,25.73,43.15,270,667
2023-11-16T21:27:59.420607,17.86,1008.33,25.79,43.15,270,666
2023-11-16T21:28:00.791814,17.86,1008.34,25.82,43.64,270,667
2023-11-16T21:28:02.164322,17.86,1008.38,25.83,43.78,271,668
2023-11-16T21:28:03.536798,17.85,1008.37,25.82,44.19,270,668
2023-11-16T21:28:04.909104,17.85,1008.36,25.82,44.62,270,667
2023-11-16T21:28:06.280395,17.84,1008.35,25.81,44.81,270,666
2023-11-16T21:28:07.649190,17.84,1008.35,25.78,45.58,270,668
2023-11-16T21:28:09.020418,17.84,1008.36,25.76,45.63,270,668
2023-11-16T21:28:10.392888,17.83,1008.36,25.75,45.73,270,667
2023-11-16T21:28:11.765393,17.83,1008.36,25.73,46.13,270,666
2023-11-16T21:28:13.136650,17.82,1008.35,25.72,46.49,270,667
2023-11-16T21:28:14.509168,17.82,1008.35,25.71,47.06,270,668
2023-11-16T21:28:15.881665,17.82,1008.35,25.72,46.85,271,668
2023-11-16T21:28:17.252932,17.81,1008.35,25.73,47.22,270,667
2023-11-16T21:28:18.621685,17.81,1008.35,25.73,47.38,270,666
2023-11-16T21:28:19.992958,17.81,1008.35,25.73,47.68,270,666
2023-11-16T21:28:21.365474,17.80,1008.36,25.75,47.68,270,667
2023-11-16T21:28:22.737917,17.80,1008.35,25.76,47.95,270,668
2023-11-16T21:28:24.110492,17.80,1008.35,25.78,48.44,270,668
2023-11-16T21:28:25.481658,17.79,1008.35,25.76,48.53,270,666
2023-11-16T21:28:26.854139,17.79,1008.35,25.74,48.87,270,666
2023-11-16T21:28:28.226721,17.79,1008.36,25.72,49.15,270,667
2023-11-16T21:28:29.594246,17.78,1008.36,25.69,49.82,270,668
2023-11-16T21:28:30.966544,17.78,1008.36,25.66,50.12,270,668
2023-11-16T21:28:32.337735,17.78,1008.36,25.62,50.42,270,667
2023-11-16T21:28:33.710285,17.77,1008.36,25.57,50.51,270,666
2023-11-16T21:28:35.082791,17.77,1008.36,25.53,51.16,270,666
2023-11-16T21:28:36.454006,17.77,1008.37,25.48,51.91,270,666
2023-11-16T21:28:37.826507,17.77,1008.37,25.43,51.47,270,667
2023-11-16T21:28:39.199161,17.76,1008.36,25.40,51.75,270,668
2023-11-16T21:28:40.566492,17.76,1008.36,25.35,52.01,270,668
2023-11-16T21:28:41.939026,17.76,1008.36,25.31,52.53,270,666
2023-11-16T21:28:43.311500,17.75,1008.36,25.28,52.66,270,666
2023-11-16T21:28:44.682892,17.75,1008.35,25.24,53.03,270,666
2023-11-16T21:28:46.055121,17.75,1008.35,25.22,53.74,270,667
2023-11-16T21:28:47.427646,17.74,1008.35,25.18,53.67,270,668
2023-11-16T21:28:48.800032,17.74,1008.34,25.16,54.40,270,667
2023-11-16T21:28:50.171227,17.74,1008.35,25.12,54.83,270,666
2023-11-16T21:28:51.543765,17.73,1008.35,25.08,54.51,270,666
2023-11-16T21:28:52.911254,17.73,1008.35,25.07,54.54,270,667
2023-11-16T21:28:54.283784,17.73,1008.35,25.04,54.86,270,668
2023-11-16T21:28:55.656254,17.73,1008.35,25.01,55.81,270,667
2023-11-16T21:28:57.027522,17.72,1008.34,24.99,55.37,270,665
2023-11-16T21:28:58.400156,17.72,1008.35,24.98,55.48,270,667
2023-11-16T21:28:59.772768,17.72,1008.36,24.95,56.26,270,668
2023-11-16T21:29:01.143912,17.71,1008.36,24.93,56.48,270,667
2023-11-16T21:29:02.516404,17.71,1008.35,24.93,56.64,270,666
2023-11-16T21:29:03.884037,17.71,1008.35,24.91,56.98,270,667
2023-11-16T21:29:05.256521,17.71,1008.35,24.88,57.14,270,668
2023-11-16T21:29:06.629042,17.70,1008.35,24.86,57.61,270,667
2023-11-16T21:29:08.000252,17.70,1008.35,24.85,57.69,270,666
2023-11-16T21:29:09.372592,17.70,1008.34,24.85,58.17,270,666
2023-11-16T21:29:10.745033,17.70,1008.35,24.82,58.94,270,668
2023-11-16T21:29:12.117497,17.69,1008.35,24.82,58.45,270,667
2023-11-16T21:29:13.488746,17.69,1008.35,24.80,58.73,270,666
2023-11-16T21:29:14.857500,17.69,1008.35,24.80,58.90,270,667
2023-11-16T21:29:16.228763,17.69,1008.35,24.80,59.15,270,668
2023-11-16T21:29:17.601277,17.68,1008.35,24.80,59.48,270,668
2023-11-16T21:29:18.973777,17.68,1008.36,24.80,59.82,270,666
2023-11-16T21:29:20.344924,17.68,1008.36,24.79,59.99,270,666
2023-11-16T21:29:21.717431,17.68,1008.35,24.80,60.21,270,668
2023-11-16T21:29:23.089923,17.67,1008.35,24.79,60.47,270,668
2023-11-16T21:29:24.462470,17.67,1008.36,24.80,60.86,270,666
2023-11-16T21:29:25.829940,17.67,1008.35,24.81,60.99,270,666
2023-11-16T21:29:27.202495,17.66,1008.35,24.80,61.17,270,667
2023-11-16T21:29:28.573693,17.66,1008.35,24.79,61.44,270,668
2023-11-16T21:29:29.946199,17.66,1008.35,24.79,61.75,270,667
2023-11-16T21:29:31.318713,17.66,1008.35,24.80,61.80,270,666
2023-11-16T21:29:32.689925,17.65,1008.35,24.80,62.77,270,665
2023-11-16T21:29:34.062479,17.65,1008.35,24.79,62.96,270,666
2023-11-16T21:29:35.434920,17.65,1008.35,24.79,62.54,270,668
2023-11-16T21:29:36.806194,17.65,1008.35,24.79,63.10,270,667
2023-11-16T21:29:38.174940,17.64,1008.35,24.78,63.19,270,666
2023-11-16T21:29:39.546208,17.64,1008.35,24.78,63.34,270,665
2023-11-16T21:29:40.918774,17.64,1008.35,24.78,63.53,270,666
2023-11-16T21:29:42.291161,17.64,1008.35,24.77,64.16,270,667
2023-11-16T21:29:43.663671,17.64,1008.35,24.75,63.87,270,667
2023-11-16T21:29:45.034921,17.64,1008.36,24.76,64.16,270,665
2023-11-16T21:29:46.407427,17.64,1008.36,24.75,65.10,270,665
2023-11-16T21:29:47.779966,17.63,1008.36,24.75,65.46,270,667
