datetime,temp,pressure,humidity,gas,lyd,lys
2023-11-24T08:56:00.389891,21.65,984.72,20.41,156.69,257,302
2023-11-24T08:56:00.421738,21.65,984.72,20.41,156.69,258,214
2023-11-24T08:56:00.435906,21.65,984.71,20.41,156.98,257,234
2023-11-24T08:56:00.450887,21.65,984.72,20.41,156.69,257,302
2023-11-24T08:56:00.486800,21.65,984.72,20.41,156.69,258,214
2023-11-24T08:56:00.505948,21.65,984.71,20.41,156.98,257,234
2023-11-24T08:56:00.523613,21.65,984.72,20.41,156.69,257,302
2023-11-24T08:56:01.194478,21.67,984.68,20.45,152.56,261,352
2023-11-24T08:56:02.279454,21.69,984.69,20.44,153.26,259,253
2023-11-24T08:56:03.651951,21.68,984.70,20.44,153.68,259,299
2023-11-24T08:56:05.024616,21.68,984.70,20.43,154.67,259,213
2023-11-24T08:56:06.395832,21.68,984.71,20.44,154.67,259,304
2023-11-24T08:56:07.768337,21.67,984.71,20.44,153.96,259,265
2023-11-24T08:56:09.140855,21.67,984.71,20.43,155.24,259,218
2023-11-24T08:56:10.512008,21.67,984.71,20.43,154.67,259,298
2023-11-24T08:56:11.880705,21.67,984.72,20.44,155.38,259,221
2023-11-24T08:56:13.252973,21.67,984.72,20.42,156.10,259,229
2023-11-24T08:56:14.624229,21.67,984.71,20.40,155.96,259,301
2023-11-24T08:56:15.996736,21.67,984.72,20.40,154.95,259,220
2023-11-24T08:56:17.369232,21.67,984.71,20.39,155.96,259,299
2023-11-24T08:56:18.740479,21.67,984.71,20.37,155.96,259,251
2023-11-24T08:56:20.112952,21.67,984.71,20.37,156.40,259,250
2023-11-24T08:56:21.485453,21.67,984.71,20.34,156.10,259,310
2023-11-24T08:56:22.852988,21.67,984.68,20.34,156.69,251,174
2023-11-24T08:56:24.225372,21.67,984.69,20.33,156.69,259,318
2023-11-24T08:56:25.597767,21.67,984.70,20.32,156.10,259,206
2023-11-24T08:56:26.968976,21.67,984.70,20.32,156.25,259,281
2023-11-24T08:56:28.341209,21.67,984.71,20.31,156.69,260,291
2023-11-24T08:56:29.709954,21.67,984.71,20.32,155.38,259,210
2023-11-24T08:56:31.081202,21.67,984.73,20.31,155.67,265,332
2023-11-24T08:56:32.453721,21.67,984.72,20.31,156.10,260,199
2023-11-24T08:56:33.826250,21.67,984.72,20.32,156.83,259,323
2023-11-24T08:56:35.198697,21.67,984.72,20.33,157.57,259,228
2023-11-24T08:56:36.569830,21.67,984.72,20.32,155.38,259,247
2023-11-24T08:56:37.942337,21.66,984.71,20.33,156.98,260,316
2023-11-24T08:56:39.314834,21.67,984.71,20.33,156.98,260,203
2023-11-24T08:56:40.682335,21.67,984.71,20.33,156.25,259,332
2023-11-24T08:56:42.054820,21.67,984.72,20.34,156.69,259,208
2023-11-24T08:56:43.426095,21.67,984.72,20.35,156.69,259,305
2023-11-24T08:56:44.798575,21.67,984.72,20.35,156.54,260,279
2023-11-24T08:56:46.171110,21.67,984.72,20.35,156.69,260,220
2023-11-24T08:56:47.542353,21.67,984.72,20.36,156.83,259,325
2023-11-24T08:56:48.914858,21.67,984.72,20.36,157.42,260,200
2023-11-24T08:56:50.287334,21.67,984.72,20.37,156.54,259,332
2023-11-24T08:56:51.654823,21.67,984.72,20.37,157.13,259,209
2023-11-24T08:56:53.027233,21.67,984.71,20.36,156.83,260,329
2023-11-24T08:56:54.399697,21.67,984.71,20.36,156.98,259,209
2023-11-24T08:56:55.771041,21.67,984.72,20.35,156.54,259,309
2023-11-24T08:56:57.143465,21.67,984.72,20.35,157.42,259,258
2023-11-24T08:56:58.510958,21.67,984.72,20.35,157.42,260,234
2023-11-24T08:56:59.883468,21.68,984.71,20.36,155.67,260,316
2023-11-24T08:57:01.255853,21.68,984.72,20.35,156.40,260,205
2023-11-24T08:57:02.628380,21.68,984.72,20.34,156.98,260,333
2023-11-24T08:57:03.995861,21.68,984.72,20.34,157.57,259,199
2023-11-24T08:57:05.368455,21.68,984.71,20.33,157.13,260,331
2023-11-24T08:57:06.739669,21.68,984.71,20.31,157.72,260,213
2023-11-24T08:57:08.112057,21.68,984.72,20.29,156.98,259,277
2023-11-24T08:57:09.484583,21.68,984.72,20.26,157.27,260,303
2023-11-24T08:57:10.856978,21.68,984.72,20.24,157.72,260,205
2023-11-24T08:57:12.228300,21.68,984.72,20.22,157.57,259,332
2023-11-24T08:57:13.596991,21.68,984.73,20.17,157.27,259,209
2023-11-24T08:57:14.968239,21.68,984.73,20.15,157.72,260,321
2023-11-24T08:57:16.340683,21.68,984.73,20.12,158.31,259,252
2023-11-24T08:57:17.713204,21.68,984.73,20.09,158.76,260,225
2023-11-24T08:57:19.084310,21.68,984.73,20.06,158.16,259,328
2023-11-24T08:57:20.452930,21.68,984.73,20.04,158.16,259,201
2023-11-24T08:57:21.825460,21.68,984.73,20.01,158.76,259,312
2023-11-24T08:57:23.196683,21.68,984.73,19.99,158.91,260,285
2023-11-24T08:57:24.569222,21.68,984.74,19.97,158.31,259,210
2023-11-24T08:57:25.941790,21.68,984.75,19.95,159.06,259,327
2023-11-24T08:57:27.309205,21.68,984.75,19.93,158.76,260,200
2023-11-24T08:57:28.681805,21.68,984.75,19.91,158.91,260,324
2023-11-24T08:57:30.054110,21.68,984.75,19.89,158.91,259,250
2023-11-24T08:57:31.425373,21.68,984.76,19.86,159.81,260,229
2023-11-24T08:57:32.797823,21.68,984.76,19.85,159.06,259,330
2023-11-24T08:57:34.170324,21.68,984.75,19.84,159.51,259,201
2023-11-24T08:57:35.541676,21.68,984.76,19.83,159.21,259,314
2023-11-24T08:57:36.914098,21.68,984.76,19.82,159.21,259,285
2023-11-24T08:57:38.281718,21.68,984.76,19.84,159.51,259,210
2023-11-24T08:57:39.654007,21.68,984.76,19.83,159.51,259,332
2023-11-24T08:57:41.026481,21.68,984.76,19.81,159.97,259,209
2023-11-24T08:57:42.397703,21.68,984.76,19.81,159.97,260,275
2023-11-24T08:57:43.770228,21.68,984.77,19.80,159.81,259,307
2023-11-24T08:57:45.142712,21.68,984.77,19.78,159.36,259,202
2023-11-24T08:57:46.515222,21.68,984.77,19.79,159.81,260,332
