Temp,Pressure,humidity,gas,lyd,lys
23.17,1003.14,33.42,28.10,270,767,2023-11-13 14:09:33.640997
23.18,1003.14,33.35,29.32,270,767,2023-11-13 14:09:34.256031
23.18,1003.14,33.31,30.44,269,766,2023-11-13 14:09:35.628128
23.19,1003.15,33.27,31.05,268,766,2023-11-13 14:09:37.000351
23.21,1003.15,33.26,31.66,269,766,2023-11-13 14:09:38.372256
23.22,1003.15,33.23,32.36,267,765,2023-11-13 14:09:39.740449
23.23,1003.16,33.21,32.92,268,765,2023-11-13 14:09:41.112572
23.24,1003.15,33.19,33.08,267,767,2023-11-13 14:09:42.484610
23.25,1003.16,33.22,33.31,268,767,2023-11-13 14:09:43.856691
23.27,1003.17,33.41,33.69,269,767,2023-11-13 14:09:45.228721
23.29,1003.17,33.60,34.04,268,767,2023-11-13 14:09:46.601062
23.31,1003.17,33.75,34.23,268,766,2023-11-13 14:09:47.972851
23.32,1003.17,33.91,35.00,269,767,2023-11-13 14:09:49.345121
23.33,1003.17,33.97,35.42,268,767,2023-11-13 14:09:50.713782
23.34,1003.16,33.93,35.75,268,766,2023-11-13 14:09:52.085115
23.35,1003.16,33.87,36.05,268,767,2023-11-13 14:09:53.457227
23.36,1003.16,33.82,36.65,268,767,2023-11-13 14:09:54.829409
23.37,1003.16,33.74,36.78,268,766,2023-11-13 14:09:56.197374
23.39,1003.17,33.66,37.47,269,767,2023-11-13 14:09:57.569593
23.40,1003.16,33.59,37.80,267,765,2023-11-13 14:09:58.941543
23.41,1003.15,33.47,38.39,270,767,2023-11-13 14:10:00.309551
23.41,1003.15,33.34,38.42,268,767,2023-11-13 14:10:01.681680
23.42,1003.15,33.20,38.81,268,767,2023-11-13 14:10:03.053688
23.43,1003.16,33.06,39.17,269,767,2023-11-13 14:10:04.421794
23.44,1003.16,32.95,39.65,268,767,2023-11-13 14:10:05.792929
23.45,1003.16,32.84,39.65,268,767,2023-11-13 14:10:07.164433
23.45,1003.15,32.73,39.99,269,767,2023-11-13 14:10:08.535865
23.46,1003.14,32.63,40.30,268,767,2023-11-13 14:10:09.907342
23.47,1003.14,32.55,40.61,269,766,2023-11-13 14:10:11.278808
23.48,1003.13,32.48,41.05,269,766,2023-11-13 14:10:12.650376
23.48,1003.13,32.40,41.21,270,767,2023-11-13 14:10:14.018310
23.49,1003.13,32.35,41.41,269,767,2023-11-13 14:10:15.389627
23.50,1003.13,32.31,41.70,269,767,2023-11-13 14:10:16.761186
23.51,1003.13,32.26,41.74,269,766,2023-11-13 14:10:18.132814
23.51,1003.13,32.24,41.90,268,767,2023-11-13 14:10:19.504566
23.52,1003.13,32.23,42.12,269,767,2023-11-13 14:10:20.876062
23.52,1003.13,32.24,42.24,269,767,2023-11-13 14:10:22.247673
23.53,1003.13,32.28,42.33,270,767,2023-11-13 14:10:23.619358
23.54,1003.12,32.36,42.54,269,767,2023-11-13 14:10:24.991080
23.55,1003.12,32.42,42.67,269,767,2023-11-13 14:10:26.358936
23.55,1003.12,32.46,42.97,270,767,2023-11-13 14:10:27.730502
23.56,1003.12,32.50,43.11,269,767,2023-11-13 14:10:29.102172
23.57,1003.12,32.53,43.46,268,767,2023-11-13 14:10:30.473932
23.58,1003.11,32.52,43.78,269,766,2023-11-13 14:10:31.841905
23.58,1003.11,32.55,43.69,270,767,2023-11-13 14:10:33.213456
23.59,1003.11,32.57,43.96,265,767,2023-11-13 14:10:34.585175
23.59,1003.11,32.59,44.10,269,767,2023-11-13 14:10:35.957004
23.60,1003.11,32.61,44.38,268,766,2023-11-13 14:10:37.324872
23.61,1003.11,32.63,44.52,269,766,2023-11-13 14:10:38.696723
23.61,1003.12,32.63,43.92,270,767,2023-11-13 14:10:40.068486
23.62,1003.12,32.78,43.55,269,768,2023-11-13 14:10:41.440305
23.63,1003.11,33.09,43.92,269,767,2023-11-13 14:10:42.812113
23.64,1003.11,33.35,44.24,269,767,2023-11-13 14:10:44.183946
23.65,1003.11,33.47,44.52,269,767,2023-11-13 14:10:45.555714
23.65,1003.11,33.49,45.14,269,767,2023-11-13 14:10:46.927752
23.66,1003.12,33.44,45.58,269,767,2023-11-13 14:10:48.295574
23.66,1003.12,33.33,45.73,270,767,2023-11-13 14:10:49.667449
23.66,1003.12,33.22,46.08,269,767,2023-11-13 14:10:51.039244
23.66,1003.11,33.08,46.39,269,766,2023-11-13 14:10:52.411138
23.67,1003.11,32.97,46.54,268,767,2023-11-13 14:10:53.782962
23.67,1003.11,32.84,46.59,269,767,2023-11-13 14:10:55.150898
23.67,1003.11,32.77,46.80,269,767,2023-11-13 14:10:56.523107
23.67,1003.11,32.71,46.90,268,767,2023-11-13 14:10:57.894646
23.68,1003.11,32.63,47.17,270,767,2023-11-13 14:10:59.266619
23.68,1003.11,32.59,47.14,269,767,2023-11-13 14:11:00.638422
23.68,1003.12,32.52,47.33,268,768,2023-11-13 14:11:02.010420
23.69,1003.12,32.47,47.30,268,767,2023-11-13 14:11:03.378254
23.69,1003.12,32.45,47.57,268,767,2023-11-13 14:11:04.750192
23.68,1003.12,32.41,47.54,268,767,2023-11-13 14:11:06.122057
23.69,1003.13,32.40,47.78,296,767,2023-11-13 14:11:07.493996
23.69,1003.13,32.39,47.89,268,767,2023-11-13 14:11:08.865945
23.69,1003.12,32.39,48.17,268,767,2023-11-13 14:11:10.237831
23.70,1003.12,32.40,48.19,269,767,2023-11-13 14:11:11.609770
23.70,1003.11,32.40,48.19,268,767,2023-11-13 14:11:12.977845
23.70,1003.10,32.43,48.42,268,767,2023-11-13 14:11:14.349964
23.70,1003.10,32.43,48.70,269,767,2023-11-13 14:11:15.721667
23.70,1003.10,32.42,48.78,269,766,2023-11-13 14:11:17.093662
23.71,1003.11,32.38,48.92,268,767,2023-11-13 14:11:18.465559
23.71,1003.10,32.38,48.98,266,765,2023-11-13 14:11:19.837520
23.71,1003.10,32.35,48.81,268,767,2023-11-13 14:11:21.209393
23.71,1003.10,32.34,49.15,268,767,2023-11-13 14:11:22.581360
